Year, Pseudodiploria strigosa, Undaria agaricites complex, Stephanocoenia intersepta, Solenastrea bournoni, Siderastrea siderea, Siderastrea radians, Scolymia sp_, Scleractinia, Porites astreoides, Pseudodiploria clivosa, Porites porites complex, Isophyllia rigida, Orbicella annularis complex, Oculina robusta, Oculina diffusa, Mycetophyllia lamarckiana complex, Mycetophyllia ferox, Mycetophyllia aliciae, Montastraea cavernosa, Mussa angulosa, Meandrina meandrites, Millepora complanata, Millepora alcicornis, Madracis decactis complex, Manicina areolata, Madracis aurentenra, Isophyllia sinuosa, Acropora cervicornis, Helioseris cucullata, Acropora palmata, Acropora prolifera, Agaricia fragilis, Agaricia lamarcki, Cladocora arbuscula, Dendrogyra cylindrus, Colpophyllia natans, Dichocoenia stokesii, Diploria labyrinthiformis, Favia fragum, Eusmilia fastigiata
1996,0.239%,0.114%,0.027%,0.010%,0.865%,0.030%,0.000%,0.528%,0.542%,0.038%,0.127%,0.000%,3.458%,0.000%,0.013%,0.022%,0.009%,0.008%,1.339%,0.005%,0.042%,0.770%,0.456%,0.003%,0.002%,0.001%,0.000%,0.197%,0.000%,1.003%,0.000%,0.001%,0.000%,0.000%,0.133%,0.508%,0.059%,0.132%,0.003%,0.004%
1997,0.169%,0.093%,0.014%,0.014%,0.824%,0.017%,0.000%,0.311%,0.646%,0.056%,0.137%,0.001%,3.686%,0.000%,0.016%,0.027%,0.009%,0.011%,1.261%,0.004%,0.028%,0.617%,0.584%,0.006%,0.003%,0.012%,0.000%,0.185%,0.003%,0.847%,0.000%,0.001%,0.007%,0.000%,0.125%,0.347%,0.065%,0.074%,0.006%,0.008%
1998,0.059%,0.039%,0.017%,0.030%,0.858%,0.016%,0.001%,0.095%,0.644%,0.047%,0.081%,0.000%,3.098%,0.000%,0.027%,0.030%,0.008%,0.009%,1.183%,0.006%,0.025%,0.445%,0.408%,0.005%,0.000%,0.005%,0.001%,0.072%,0.000%,0.675%,0.000%,0.000%,0.002%,0.001%,0.108%,0.451%,0.058%,0.076%,0.000%,0.005%
1999,0.043%,0.030%,0.012%,0.013%,0.750%,0.009%,0.000%,0.227%,0.565%,0.060%,0.034%,0.000%,2.949%,0.000%,0.029%,0.008%,0.016%,0.012%,1.310%,0.001%,0.008%,0.039%,0.382%,0.000%,0.000%,0.001%,0.000%,0.143%,0.001%,0.130%,0.000%,0.000%,0.003%,0.000%,0.085%,0.449%,0.034%,0.050%,0.002%,0.008%
2000,0.052%,0.052%,0.028%,0.012%,0.907%,0.013%,0.001%,0.177%,0.707%,0.038%,0.050%,0.000%,2.727%,0.000%,0.030%,0.024%,0.011%,0.011%,1.297%,0.006%,0.033%,0.029%,0.280%,0.001%,0.000%,0.000%,0.000%,0.111%,0.001%,0.129%,0.000%,0.000%,0.006%,0.003%,0.102%,0.444%,0.046%,0.047%,0.003%,0.005%
2001,0.084%,0.079%,0.065%,0.008%,0.912%,0.014%,0.001%,0.108%,0.636%,0.051%,0.052%,0.000%,3.150%,0.000%,0.057%,0.005%,0.008%,0.017%,1.318%,0.004%,0.035%,0.017%,0.309%,0.001%,0.000%,0.000%,0.000%,0.110%,0.000%,0.095%,0.000%,0.000%,0.000%,0.000%,0.087%,0.408%,0.052%,0.055%,0.001%,0.003%
2002,0.089%,0.066%,0.063%,0.011%,0.972%,0.004%,0.000%,0.050%,0.693%,0.038%,0.052%,0.000%,3.026%,0.000%,0.066%,0.017%,0.010%,0.013%,1.358%,0.000%,0.038%,0.022%,0.341%,0.000%,0.001%,0.001%,0.000%,0.135%,0.001%,0.197%,0.000%,0.000%,0.001%,0.000%,0.109%,0.512%,0.039%,0.046%,0.004%,0.011%
2003,0.087%,0.061%,0.068%,0.009%,0.626%,0.004%,0.000%,0.094%,0.513%,0.030%,0.072%,0.000%,2.503%,0.000%,0.056%,0.001%,0.009%,0.010%,1.411%,0.004%,0.042%,0.028%,0.306%,0.003%,0.000%,0.006%,0.000%,0.910%,0.000%,0.092%,0.000%,0.000%,0.005%,0.000%,0.054%,0.350%,0.034%,0.037%,0.003%,0.002%
2004,0.047%,0.045%,0.066%,0.004%,0.591%,0.002%,0.001%,0.056%,0.400%,0.048%,0.071%,0.000%,2.133%,0.000%,0.038%,0.003%,0.013%,0.016%,1.120%,0.002%,0.060%,0.025%,0.294%,0.003%,0.000%,0.000%,0.000%,0.997%,0.000%,0.209%,0.176%,0.000%,0.002%,0.000%,0.033%,0.333%,0.027%,0.034%,0.003%,0.006%
2005,0.074%,0.049%,0.087%,0.019%,0.622%,0.010%,0.001%,0.046%,0.400%,0.018%,0.062%,0.000%,2.207%,0.000%,0.060%,0.004%,0.012%,0.006%,1.090%,0.004%,0.041%,0.007%,0.326%,0.000%,0.000%,0.000%,0.000%,0.895%,0.000%,0.156%,0.137%,0.000%,0.002%,0.000%,0.030%,0.318%,0.042%,0.033%,0.003%,0.003%
2006,0.084%,0.024%,0.063%,0.022%,0.598%,0.009%,0.000%,0.053%,0.396%,0.067%,0.039%,0.003%,1.994%,0.000%,0.039%,0.003%,0.002%,0.017%,1.071%,0.002%,0.040%,0.005%,0.219%,0.000%,0.000%,0.002%,0.000%,0.585%,0.000%,0.054%,0.075%,0.000%,0.000%,0.000%,0.018%,0.253%,0.031%,0.018%,0.002%,0.002%
2007,0.038%,0.029%,0.034%,0.012%,0.610%,0.003%,0.000%,0.025%,0.308%,0.112%,0.042%,0.000%,2.008%,0.000%,0.039%,0.011%,0.008%,0.007%,1.051%,0.000%,0.046%,0.026%,0.271%,0.002%,0.000%,0.001%,0.000%,0.680%,0.000%,0.075%,0.142%,0.000%,0.000%,0.000%,0.022%,0.333%,0.028%,0.020%,0.001%,0.003%
2008,0.053%,0.047%,0.064%,0.014%,0.632%,0.004%,0.001%,0.024%,0.348%,0.099%,0.049%,0.000%,1.994%,0.000%,0.022%,0.010%,0.001%,0.015%,0.968%,0.004%,0.039%,0.025%,0.369%,0.001%,0.000%,0.003%,0.000%,0.731%,0.000%,0.069%,0.124%,0.000%,0.001%,0.000%,0.031%,0.223%,0.028%,0.028%,0.000%,0.008%
2009,0.074%,0.033%,0.095%,0.009%,0.836%,0.008%,0.000%,0.006%,0.400%,0.095%,0.103%,0.000%,2.578%,0.000%,0.013%,0.012%,0.006%,0.031%,1.323%,0.005%,0.056%,0.018%,0.444%,0.001%,0.000%,0.002%,0.002%,0.537%,0.002%,0.081%,0.114%,0.000%,0.001%,0.000%,0.013%,0.632%,0.030%,0.025%,0.000%,0.007%
2010,0.076%,0.054%,0.113%,0.025%,0.818%,0.004%,0.000%,0.011%,0.327%,0.077%,0.105%,0.000%,1.445%,0.000%,0.012%,0.011%,0.016%,0.010%,1.129%,0.000%,0.081%,0.025%,0.501%,0.005%,0.000%,0.004%,0.000%,0.418%,0.000%,0.084%,0.103%,0.000%,0.001%,0.002%,0.022%,0.511%,0.027%,0.023%,0.000%,0.009%
2011,0.052%,0.095%,0.185%,0.018%,0.957%,0.003%,0.001%,0.003%,0.402%,0.086%,0.110%,0.000%,1.463%,0.001%,0.016%,0.011%,0.011%,0.011%,1.239%,0.001%,0.058%,0.028%,0.628%,0.007%,0.001%,0.002%,0.001%,0.251%,0.000%,0.090%,0.127%,0.000%,0.001%,0.003%,0.021%,0.491%,0.023%,0.025%,0.000%,0.011%
2012,0.117%,0.081%,0.200%,0.009%,0.974%,0.007%,0.000%,0.011%,0.498%,0.051%,0.131%,0.000%,1.494%,0.002%,0.016%,0.010%,0.006%,0.013%,1.245%,0.006%,0.052%,0.017%,0.648%,0.007%,0.001%,0.004%,0.000%,0.248%,0.001%,0.099%,0.120%,0.000%,0.003%,0.003%,0.015%,0.515%,0.038%,0.029%,0.000%,0.007%
2013,0.076%,0.106%,0.187%,0.018%,0.989%,0.003%,0.001%,0.008%,0.465%,0.063%,0.098%,0.000%,1.484%,0.003%,0.010%,0.014%,0.002%,0.012%,1.133%,0.002%,0.073%,0.022%,0.564%,0.004%,0.000%,0.004%,0.000%,0.173%,0.001%,0.113%,0.107%,0.000%,0.003%,0.000%,0.018%,0.403%,0.030%,0.019%,0.000%,0.009%
2014,0.073%,0.106%,0.231%,0.029%,1.129%,0.003%,0.000%,0.004%,0.485%,0.087%,0.124%,0.000%,1.403%,0.001%,0.006%,0.008%,0.012%,0.008%,1.150%,0.002%,0.077%,0.024%,0.612%,0.006%,0.000%,0.011%,0.001%,0.236%,0.000%,0.133%,0.126%,0.002%,0.005%,0.002%,0.012%,0.633%,0.042%,0.028%,0.000%,0.006%
2015,0.065%,0.054%,0.236%,0.026%,1.153%,0.002%,0.000%,0.003%,0.473%,0.082%,0.101%,0.000%,1.255%,0.000%,0.007%,0.006%,0.008%,0.012%,1.106%,0.003%,0.066%,0.009%,0.476%,0.005%,0.003%,0.006%,0.000%,0.173%,0.000%,0.095%,0.120%,0.000%,0.003%,0.000%,0.005%,0.549%,0.038%,0.032%,0.000%,0.009%